AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
37,15,37P,,-19000,40,861.0,22,5.0,2.0
42,15,42P,,1090,100,,27,5.0,1.0
44,15,44P,, 11110.0, 400.0,,29,5.0,1.0
47,15,47P,, 28810.0, 600.0,,32,5.0,4.0
31,15,31P,,-24440.5444,0.0007,1266.13,16,5.0,4.0
26,15,26P,, 10970.0, 200.0,164.4,11,5.0,3.0
32,15,32P,i,-19232.44,0.07,78.06,17,5.0,3.0
32,15,32P,,-24304.88,0.04,,17,5.0,3.0
33,15,33P,,-26337.4,1.1,1431.7,18,5.0,2.0
24,15,24P,, 34020.0, 500.0,,9,5.0,1.0
27,15,27P,,-659,9,1120.0,12,5.0,4.0
25,15,25P,, 20190.0, 400.0,,10,5.0,2.0
30,15,30P,i,-19523.85,0.08,677.01,15,5.0,5.0
28,15,28P,i,-1261,20,105.64,13,5.0,5.0
28,15,28P,,-7147.9,1.1,,13,5.0,5.0
29,15,29P,i,-8571,2.5,1383.55,14,5.0,6.0
26,15,26P,m, 11130.0, 200.0,,11,5.0,3.0
31,15,31P,i,-18059.7,2,,16,5.0,4.0
30,15,30P,,-20200.86,0.07,,15,5.0,5.0
29,15,29P,,-16952.8,0.4,,14,5.0,6.0
27,15,27P,i,12010,30,,12,5.0,4.0
48,16,48S,, 12390.0, 500.0,,32,4.0,4.0
26,16,26S,, 27680.0, 600.0,,10,4.0,2.0
44,16,44S,,-9204,5,1329.0,28,4.0,0.0
32,16,32S,j,-13967.58,0.28,2230.57,16,4.0,4.0
32,16,32S,,-26015.5371,0.0013,,16,4.0,4.0
32,16,32S,i,-19014.1,0.4,,16,4.0,4.0
44,16,44S,m,-7839,5,,28,4.0,0.0
37,16,37S,,-26896.43,0.2,646.177,21,4.0,1.0
29,16,29S,,-3094,13,1222.0,13,4.0,5.0
45,16,45S,, -3340.0, 300.0,,29,4.0,1.0
38,16,38S,,-26861,7,1292.02,22,4.0,2.0
41,16,41S,,-19009,4,449.0,25,4.0,3.0
49,16,49S,, 20390.0, 580.0,,33,4.0,5.0
31,16,31S,,-19042.53,0.23,1248.87,15,4.0,5.0
31,16,31S,i,-12761.9,0.6,,15,4.0,5.0
47,16,47S,,  7200.0, 400.0,,31,4.0,3.0
34,16,34S,,-29931.69,0.04,2127.564,18,4.0,2.0
42,16,42S,,-17637.7,2.8,903.0,26,4.0,2.0
40,16,40S,,-22838,4,903.69,24,4.0,4.0
33,16,33S,i,-21106.07,0.13,840.982,17,4.0,3.0
36,16,36S,,-30664.14,0.19,3290.9,20,4.0,0.0
28,16,28S,,4070,160,1507.0,12,4.0,4.0
35,16,35S,,-28846.21,0.04,1572.378,19,4.0,1.0
35,16,35S,i,-19691,10,,19,4.0,1.0
33,16,33S,,-26585.8583,0.0013,,17,4.0,3.0
27,16,27S,, 17490.0, 400.0,,11,4.0,3.0
30,16,30S,,-14059.25,0.21,2210.6,14,4.0,6.0
46,16,46S,,   640.0, 400.0,952.0,30,4.0,2.0
43,16,43S,,-12195,5,320.7,27,4.0,1.0
43,16,43S,m,-11874,5,,27,4.0,1.0
39,16,39S,,-23160,50,58.73,23,4.0,3.0
40,17,40Cl,,-27560,30,211.62,23,3.0,3.0
30,17,30Cl,,4675,24,,13,3.0,5.0
51,17,51Cl,, 14290.0, 700.0,,34,3.0,6.0
38,17,38Cl,,-29798.12,0.1,671.365,21,3.0,1.0
38,17,38Cl,i,-21590,24,,21,3.0,1.0
29,17,29Cl,, 14020.0, 190.0,500.0,12,3.0,4.0
50,17,50Cl,,  7700.0, 400.0,,33,3.0,5.0
52,17,52Cl,, 22360.0, 700.0,,35,3.0,7.0
39,17,39Cl,,-29800.2,1.7,396.42,22,3.0,2.0
38,17,38Cl,m,-29126.75,0.1,,21,3.0,1.0
36,17,36Cl,i,-25222.34,0.04,788.4328,19,3.0,1.0
28,17,28Cl,, 28270.0, 500.0,,11,3.0,3.0
31,17,31Cl,i,5256,3,750.0,14,3.0,6.0
42,17,42Cl,,-24830,60,118.19,25,3.0,3.0
33,17,33Cl,i,-15454.9,0.5,810.55,16,3.0,4.0
34,17,34Cl,,-24440.09,0.05,146.36,17,3.0,3.0
34,17,34Cl,m,-24293.73,0.05,,17,3.0,3.0
47,17,47Cl,, -9580.0, 200.0,,30,3.0,2.0
33,17,33Cl,,-21003.3,0.4,,16,3.0,4.0
35,17,35Cl,,-29013.53,0.04,1219.29,18,3.0,2.0
35,17,35Cl,i,-23359.05,0.22,,18,3.0,2.0
46,17,46Cl,,-13730,100,118.0,29,3.0,1.0
32,17,32Cl,i,-8288.4,0.7,89.9,15,3.0,5.0
32,17,32Cl,,-13334.7,0.6,,15,3.0,5.0
31,17,31Cl,,-7035,3,,14,3.0,6.0
36,17,36Cl,,-29522.01,0.04,,19,3.0,1.0
43,17,43Cl,,-24160,60,328.0,26,3.0,2.0
48,17,48Cl,, -4280.0, 500.0,,31,3.0,3.0
41,17,41Cl,,-27310,70,129.7,24,3.0,4.0
37,17,37Cl,,-31761.55,0.05,1726.58,20,3.0,0.0
37,17,37Cl,i,-21539.7,0.3,,20,3.0,0.0
49,17,49Cl,,   740.0, 400.0,,32,3.0,4.0
45,17,45Cl,,-18260,140,127.0,28,3.0,0.0
44,17,44Cl,,-20480,90,475.0,27,3.0,1.0
43,18,43Ar,,-32010,5,,25,2.0,3.0
41,18,41Ar,,-33067.5,0.3,167.11,23,2.0,3.0
52,18,52Ar,, -1380.0, 600.0,1656.0,34,2.0,6.0
53,18,53Ar,,  6790.0, 700.0,,35,2.0,7.0
29,18,29Ar,, 37970.0, 440.0,,11,2.0,3.0
54,18,54Ar,, 12560.0, 800.0,,36,2.0,8.0
40,18,40Ar,,-35039.9,0.0022,1460.849,22,2.0,2.0
38,18,38Ar,i,-24083.9,0.9,2167.472,20,2.0,0.0
37,18,37Ar,,-30947.68,0.21,1409.84,19,2.0,1.0
36,18,36Ar,i,-23620.5,0.3,1970.38,18,2.0,2.0
47,18,47Ar,,-25367.3,1.2,1130.0,29,2.0,1.0
36,18,36Ar,j,-19379.4,1.2,,18,2.0,2.0
48,18,48Ar,,-22355,17,1039.0,30,2.0,2.0
35,18,35Ar,i,-17474.6,0.7,1184.03,17,2.0,3.0
31,18,31Ar,, 11330.0, 200.0,,13,2.0,5.0
44,18,44Ar,,-32673.3,1.6,750.0,26,2.0,2.0
37,18,37Ar,i,-25956,6,,19,2.0,1.0
35,18,35Ar,,-23047.3,0.7,,17,2.0,3.0
45,18,45Ar,,-29770.8,0.5,542.1,27,2.0,1.0
36,18,36Ar,,-30231.542,0.027,,18,2.0,2.0
46,18,46Ar,,-29771.3,2.3,1577.0,28,2.0,0.0
38,18,38Ar,,-34714.83,0.19,,20,2.0,0.0
38,18,38Ar,j,-15940,30,,20,2.0,0.0
49,18,49Ar,,-17060.0, 400.0,,31,2.0,3.0
50,18,50Ar,,-13230.0, 500.0,1178.0,32,2.0,4.0
34,18,34Ar,i,-10444,5,2091.1,16,2.0,4.0
30,18,30Ar,, 22070.0, 180.0,700.0,12,2.0,4.0
39,18,39Ar,,-33242,5,1267.2069999999999,21,2.0,1.0
39,18,39Ar,i,-24161,7,,21,2.0,1.0
34,18,34Ar,,-18378.29,0.08,,16,2.0,4.0
51,18,51Ar,, -6490.0, 400.0,,33,2.0,5.0
33,18,33Ar,,-9384.3,0.4,1359.0,15,2.0,5.0
42,18,42Ar,,-34423,6,1208.22,24,2.0,4.0
32,18,32Ar,,-2200.4,1.8,1867.0,14,2.0,6.0
55,19,55K,,   470.0, 500.0,,36,1.0,8.0
54,19,54K,, -5150.0, 400.0,,35,1.0,7.0
46,19,46K,,-35413.9,0.7,587.4,27,1.0,1.0
44,19,44K,,-35781.5,0.4,182.71,25,1.0,3.0
43,19,43K,,-36575.4,0.4,561.2,24,1.0,4.0
48,19,48K,,-32284.5,0.8,142.7,29,1.0,1.0
45,19,45K,,-36615.6,0.5,474.45,26,1.0,2.0
43,19,43K,m,-35837.1,0.4,,24,1.0,4.0
53,19,53K,,-12300,110,,34,1.0,6.0
52,19,52K,,-17140,30,,33,1.0,5.0
49,19,49K,,-29611.5,0.8,91.7,30,1.0,2.0
50,19,50K,,-25728,8,44.0,31,1.0,3.0
