AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
38,18,38Ar,i,-24083.9,0.9,2167.472,20,2.0,0.0,2.0
37,18,37Ar,,-30947.68,0.21,1409.84,19,2.0,1.0,3.0
36,18,36Ar,i,-23620.5,0.3,1970.38,18,2.0,2.0,4.0
47,18,47Ar,,-25367.3,1.2,1130.0,29,2.0,1.0,3.0
48,18,48Ar,,-22355.0,17.0,1039.0,30,2.0,2.0,4.0
35,18,35Ar,i,-17474.6,0.7,1184.03,17,2.0,3.0,5.0
44,18,44Ar,,-32673.3,1.6,750.0,26,2.0,2.0,4.0
45,18,45Ar,,-29770.8,0.5,542.1,27,2.0,1.0,3.0
46,18,46Ar,,-29771.3,2.3,1577.0,28,2.0,0.0,2.0
50,18,50Ar,,-13230.0,500.0,1178.0,32,2.0,4.0,6.0
34,18,34Ar,i,-10444.0,5.0,2091.1,16,2.0,4.0,6.0
30,18,30Ar,,22070.0,180.0,700.0,12,2.0,4.0,6.0
39,18,39Ar,,-33242.0,5.0,1267.207,21,2.0,1.0,3.0
33,18,33Ar,,-9384.3,0.4,1359.0,15,2.0,5.0,7.0
42,18,42Ar,,-34423.0,6.0,1208.22,24,2.0,4.0,6.0
32,18,32Ar,,-2200.4,1.8,1867.0,14,2.0,6.0,8.0
46,19,46K,,-35413.9,0.7,587.4,27,1.0,1.0,2.0
44,19,44K,,-35781.5,0.4,182.71,25,1.0,3.0,4.0
43,19,43K,,-36575.4,0.4,561.2,24,1.0,4.0,5.0
48,19,48K,,-32284.5,0.8,142.7,29,1.0,1.0,2.0
45,19,45K,,-36615.6,0.5,474.45,26,1.0,2.0,3.0
49,19,49K,,-29611.5,0.8,91.7,30,1.0,2.0,3.0
50,19,50K,,-25728.0,8.0,44.0,31,1.0,3.0,4.0
47,19,47K,,-35712.0,1.4,360.0,28,1.0,0.0,1.0
42,19,42K,i,-28570.0,100.0,106.826,23,1.0,3.0,4.0
37,19,37K,,-24800.2,0.09,1370.85,18,1.0,2.0,3.0
38,19,38K,,-28800.76,0.2,130.22,19,1.0,1.0,2.0
40,19,40K,i,-29151.5,0.3,29.8299,21,1.0,1.0,2.0
41,19,41K,,-35559.549,0.004,980.476,22,1.0,2.0,3.0
36,19,36K,i,-13134.5,2.4,810.0,17,1.0,3.0,4.0
39,19,39K,,-33807.195,0.005,2522.75,20,1.0,0.0,1.0
35,19,35K,i,-2110.0,40.0,1553.0,16,1.0,4.0,5.0
50,20,50Ca,,-39589.2,1.6,1026.72,30,0.0,2.0,2.0
49,20,49Ca,,-41300.0,0.18,2023.2,29,0.0,1.0,1.0
42,20,42Ca,,-38547.29,0.15,1524.71,22,0.0,2.0,2.0
37,20,37Ca,,-13136.1,0.6,1606.4,17,0.0,3.0,3.0
45,20,45Ca,,-40812.2,0.4,174.25,25,0.0,3.0,3.0
48,20,48Ca,,-44224.867999999995,0.018000000000000002,3831.96,28,0.0,0.0,0.0
36,20,36Ca,,-6450.0,40.0,3045.0,16,0.0,4.0,4.0
47,20,47Ca,,-42344.7,2.2,2013.53,27,0.0,1.0,1.0
46,20,46Ca,,-43139.6,2.2,1346.0,26,0.0,2.0,2.0
38,20,38Ca,,-22058.5,0.19,2213.2,18,0.0,2.0,2.0
39,20,39Ca,i,-20917.0,9.0,2466.9,19,0.0,1.0,1.0
44,20,44Ca,,-41468.7,0.3,1157.019,24,0.0,4.0,4.0
54,20,54Ca,,-25160.0,50.0,2043.0,34,0.0,6.0,6.0
41,20,41Ca,i,-29320.8,0.5,1942.88,21,0.0,1.0,1.0
43,20,43Ca,,-38408.87,0.23,372.762,23,0.0,3.0,3.0
53,20,53Ca,,-29390.0,40.0,1746.0,33,0.0,5.0,5.0
52,20,52Ca,,-34266.3,0.7,2563.0,32,0.0,4.0,4.0
40,20,40Ca,i,-27188.22,0.05,3352.62,20,0.0,0.0,0.0
51,20,51Ca,,-36332.3,0.5,1240.0,31,0.0,3.0,3.0
50,21,50Sc,m,-44280.2,2.5,256.895,29,1.0,1.0,2.0
54,21,54Sc,m,-34328.0,14.0,110.0,33,1.0,5.0,6.0
47,21,47Sc,m,-43570.0,1.9,766.83,26,1.0,2.0,3.0
48,21,48Sc,,-44504.0,5.0,130.93,27,1.0,1.0,2.0
49,21,49Sc,,-46562.4,2.3,2228.63,28,1.0,0.0,1.0
51,21,51Sc,,-43250.4,2.5,861.62,30,1.0,2.0,3.0
53,21,53Sc,,-38770.0,18.0,2109.0,32,1.0,4.0,5.0
45,21,45Sc,m,-41059.9,0.7,12.4,24,1.0,4.0,5.0
44,21,44Sc,,-37816.0,1.8,67.8679,23,1.0,3.0,4.0
41,21,41Sc,i,-22704.0,3.0,1716.48,20,1.0,0.0,1.0
46,21,46Sc,i,-36748.0,4.0,52.011,25,1.0,3.0,4.0
43,21,43Sc,i,-31956.0,3.0,151.79,22,1.0,2.0,3.0
42,21,42Sc,r,-26044.8,0.16,611.0509999999998,21,1.0,1.0,2.0
40,21,40Sc,i,-16164.0,6.0,34.3,19,1.0,1.0,2.0
39,21,39Sc,i,-5050.0,40.0,950.0,18,1.0,2.0,3.0
60,22,60Ti,,-22100.0,240.0,850.0,38,2.0,10.0,12.0
53,22,53Ti,,-46881.4,2.9,1237.06,31,2.0,3.0,5.0
50,22,50Ti,,-51431.87,0.08,1553.794,28,2.0,0.0,2.0
43,22,43Ti,,-29316.0,6.0,313.0,21,2.0,1.0,3.0
44,22,44Ti,,-37548.6,0.7,1083.06,22,2.0,2.0,4.0
52,22,52Ti,,-49477.7,2.7,1050.06,30,2.0,2.0,4.0
61,22,61Ti,n,-15670.0,300.0,125.0,39,2.0,11.0,13.0
49,22,49Ti,,-48564.01,0.08,1381.773,27,2.0,1.0,3.0
58,22,58Ti,,-30920.0,180.0,1047.0,36,2.0,8.0,10.0
46,22,46Ti,,-44128.27,0.09,889.2860000000002,24,2.0,4.0,6.0
51,22,51Ti,,-49733.0,0.5,1166.7,29,2.0,1.0,3.0
55,22,55Ti,,-41832.0,29.0,592.0,33,2.0,5.0,7.0
59,22,59Ti,,-25880.0,300.0,113.3,37,2.0,9.0,11.0
47,22,47Ti,,-44937.61,0.08,159.371,25,2.0,3.0,5.0
48,22,48Ti,i,-37767.0,6.0,983.531,26,2.0,2.0,4.0
54,22,54Ti,,-45744.0,16.0,1494.8,32,2.0,4.0,6.0
45,22,45Ti,i,-34291.0,3.0,36.53,23,2.0,3.0,5.0
42,22,42Ti,,-25104.35,0.27,1554.6,20,2.0,0.0,2.0
56,22,56Ti,,-39420.0,100.0,1128.2,34,2.0,6.0,8.0
41,22,41Ti,,-15698.0,28.0,1623.0,19,2.0,1.0,3.0
43,23,43V,,-17920.0,40.0,8250.0,20,3.0,0.0,3.0
53,23,53V,,-51852.0,3.0,127.6,30,3.0,2.0,5.0
54,23,54V,,-49898.0,11.0,108.0,31,3.0,3.0,6.0
64,23,64V,m,-16240.0,400.0,81.9,41,3.0,9.0,12.0
55,23,55V,,-49125.0,27.0,323.3,32,3.0,4.0,7.0
52,23,52V,,-51443.03,0.16,17.155,29,3.0,1.0,4.0
57,23,57V,,-44440.0,80.0,113.2,34,3.0,6.0,9.0
49,23,49V,i,-41531.0,4.0,90.6392,26,3.0,2.0,5.0
47,23,47V,i,-37856.72,0.16,87.525,24,3.0,4.0,7.0
58,23,58V,,-40430.0,100.0,114.0,35,3.0,7.0,10.0
50,23,50V,,-49223.24,0.09,226.21,27,3.0,1.0,4.0
45,23,45V,i,-27090.0,9.0,56.7,22,3.0,2.0,5.0
48,23,48V,,-44478.0,1.0,308.29,25,3.0,3.0,6.0
51,23,51V,,-52203.11,0.1,320.0835,28,3.0,0.0,3.0
46,23,46V,m,-36274.44,0.16,801.46,23,3.0,3.0,6.0
54,24,54Cr,,-56935.38,0.13,834.855,30,4.0,2.0,6.0
48,24,48Cr,,-42821.0,7.0,752.16,24,4.0,4.0,8.0
59,24,59Cr,m,-47613.2,1.3,207.4,35,4.0,7.0,11.0
47,24,47Cr,,-34563.0,5.0,99.1,23,4.0,3.0,7.0
46,24,46Cr,i,-20328.0,13.0,892.16,22,4.0,2.0,6.0
55,24,55Cr,,-55110.32,0.23,241.91,31,4.0,3.0,7.0
62,24,62Cr,,-40853.0,3.0,446.0,38,4.0,10.0,14.0
57,24,57Cr,,-52525.0,1.9,267.87,33,4.0,5.0,9.0
51,24,51Cr,,-51450.71,0.17,749.1,27,4.0,1.0,5.0
60,24,60Cr,,-46908.5,1.1,643.9,36,4.0,8.0,12.0
50,24,50Cr,j,-37039.0,6.0,783.31,26,4.0,2.0,6.0
52,24,52Cr,,-55419.51,0.11,1434.091,28,4.0,0.0,4.0
66,24,66Cr,,-25140.0,300.0,386.0,42,4.0,8.0,12.0
64,24,64Cr,,-33640.0,300.0,429.0,40,4.0,10.0,14.0
49,24,49Cr,,-45332.4,2.2,271.72,25,4.0,3.0,7.0
