AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
116,54,116Xe,,-73047.0,13.0,393.6,62,4.0,12.0,16.0
144,54,144Xe,,-56872.0,5.0,252.6,90,4.0,8.0,12.0
114,54,114Xe,,-67086.0,11.0,450.08,60,4.0,10.0,14.0
132,54,132Xe,m,-86526.77,0.17,667.715,78,4.0,4.0,8.0
134,54,134Xe,,-88125.834,0.006,847.041,80,4.0,2.0,6.0
117,54,117Xe,,-74185.0,10.0,204.82,63,4.0,13.0,17.0
135,54,135Xe,,-86413.0,4.0,288.455,81,4.0,1.0,5.0
140,54,140Xe,,-72986.5,2.3,376.658,86,4.0,4.0,8.0
112,54,112Xe,,-60026.0,8.0,466.0,58,4.0,8.0,12.0
129,54,129Xe,m,-88459.93,0.03,39.5774,75,4.0,7.0,11.0
123,54,123Xe,m,-85063.0,10.0,97.37,69,4.0,13.0,17.0
141,54,141Xe,,-68197.3,2.9,35.6,87,4.0,5.0,9.0
127,54,127Xe,,-88321.0,4.0,124.751,73,4.0,9.0,13.0
121,54,121Xe,,-82481.0,10.0,153.99,67,4.0,15.0,19.0
125,54,125Xe,n,-86903.5,1.4,111.79,71,4.0,11.0,15.0
126,54,126Xe,,-89146.38699999999,0.006,388.632,72,4.0,10.0,14.0
128,54,128Xe,,-89860.534,0.005,442.911,74,4.0,8.0,12.0
124,54,124Xe,,-87667.4,1.4,354.03,70,4.0,12.0,16.0
122,54,122Xe,,-85355.0,11.0,331.28,68,4.0,14.0,18.0
120,54,120Xe,,-82172.0,12.0,322.61,66,4.0,16.0,20.0
142,54,142Xe,,-65229.6,2.7,287.2,88,4.0,6.0,10.0
122,55,122Cs,,-78140.0,30.0,15.56,67,5.0,15.0,20.0
135,55,135Cs,m,-85949.1,1.6,249.767,80,5.0,2.0,7.0
144,55,144Cs,,-63271.0,20.0,42.8,89,5.0,7.0,12.0
132,55,132Cs,,-87152.7,1.0,86.2,77,5.0,5.0,10.0
113,55,113Cs,,-51765.0,9.0,74.1,58,5.0,8.0,13.0
124,55,124Cs,m,-81278.0,9.0,169.51,69,5.0,13.0,18.0
116,55,116Cs,m,-61940.0,120.0,100.0,61,5.0,11.0,16.0
123,55,123Cs,,-81044.0,12.0,30.59,68,5.0,14.0,19.0
141,55,141Cs,,-74477.0,9.0,69.05,86,5.0,4.0,9.0
146,55,146Cs,m,-55263.7,2.9,47.0,91,5.0,9.0,14.0
139,55,139Cs,,-80701.0,3.0,218.633,84,5.0,2.0,7.0
134,55,134Cs,,-86891.165,0.016,11.2442,79,5.0,3.0,8.0
125,55,125Cs,,-84090.0,8.0,77.11,70,5.0,12.0,17.0
133,55,133Cs,,-88070.94300000001,0.008,80.9979,78,5.0,4.0,9.0
128,55,128Cs,,-85932.0,5.0,187.88,73,5.0,9.0,14.0
145,55,145Cs,m,-59291.0,9.0,88.7,90,5.0,8.0,13.0
142,55,142Cs,,-70515.0,7.0,12.929,87,5.0,5.0,10.0
131,55,131Cs,,-88055.57,0.18,78.73,76,5.0,6.0,11.0
126,55,126Cs,n,-83755.0,10.0,217.87,71,5.0,11.0,16.0
138,55,138Cs,m,-82807.0,9.0,10.86,83,5.0,1.0,6.0
121,55,121Cs,m,-77034.0,14.0,68.5,66,5.0,16.0,21.0
143,55,143Cs,,-67676.0,8.0,76.6,88,5.0,6.0,11.0
136,55,136Cs,m,-85821.0,1.9,104.8,81,5.0,1.0,6.0
137,55,137Cs,,-86545.8,0.3,455.491,82,5.0,0.0,5.0
129,55,129Cs,,-87499.0,5.0,6.545,74,5.0,8.0,13.0
127,55,127Cs,m,-85788.0,6.0,66.09,72,5.0,10.0,15.0
130,55,130Cs,,-86900.0,8.0,80.37,75,5.0,7.0,12.0
137,56,137Ba,,-87721.4,0.25,283.54,81,6.0,1.0,7.0
134,56,134Ba,,-88950.0,0.25,604.7223,78,6.0,4.0,10.0
145,56,145Ba,,-67516.0,8.0,112.64,89,6.0,7.0,13.0
126,56,126Ba,,-82670.0,12.0,256.02,70,6.0,12.0,18.0
127,56,127Ba,m,-82738.0,11.0,56.17,71,6.0,11.0,17.0
147,56,147Ba,,-60264.0,20.0,46.22,91,6.0,9.0,15.0
148,56,148Ba,,-57544.9,1.5,141.8,92,6.0,10.0,16.0
135,56,135Ba,n,-85462.7,0.6,220.968,79,6.0,3.0,9.0
136,56,136Ba,,-88887.08,0.24,818.5219999999998,80,6.0,2.0,8.0
138,56,138Ba,,-88261.81,0.25,1435.805,82,6.0,0.0,6.0
143,56,143Ba,,-73937.0,7.0,33.29,87,6.0,5.0,11.0
133,56,133Ba,,-87553.5,1.0,12.327,77,6.0,5.0,11.0
141,56,141Ba,,-79732.0,5.0,48.53,85,6.0,3.0,9.0
121,56,121Ba,,-70740.0,140.0,134.42,65,6.0,15.0,21.0
123,56,123Ba,m,-75534.0,12.0,92.68,67,6.0,15.0,21.0
129,56,129Ba,m,-85053.0,11.0,8.42,73,6.0,9.0,15.0
142,56,142Ba,,-77842.0,6.0,359.596,86,6.0,4.0,10.0
118,56,118Ba,,-62200.0,200.0,194.0,62,6.0,12.0,18.0
131,56,131Ba,,-86679.0,0.4,108.077,75,6.0,7.0,13.0
132,56,132Ba,,-88434.9,1.1,464.508,76,6.0,6.0,12.0
122,56,122Ba,,-74609.0,28.0,195.9,66,6.0,16.0,22.0
124,56,124Ba,,-79090.0,12.0,229.91,68,6.0,14.0,20.0
144,56,144Ba,,-71767.0,7.0,199.326,88,6.0,6.0,12.0
140,56,140Ba,,-83268.0,8.0,602.37,84,6.0,2.0,8.0
120,56,120Ba,,-68890.0,300.0,186.0,64,6.0,14.0,20.0
146,56,146Ba,,-64866.3,1.8,181.04,90,6.0,8.0,14.0
128,56,128Ba,,-85369.2,1.6,284.0,72,6.0,10.0,16.0
130,56,130Ba,,-87256.78,0.29,357.38,74,6.0,8.0,14.0
139,56,139Ba,,-84913.92,0.25,627.318,83,6.0,1.0,7.0
137,57,137La,m,-85271.4,1.6,10.59,80,7.0,2.0,9.0
131,57,131La,m,-83464.0,28.0,26.22,74,7.0,8.0,15.0
129,57,129La,m,-81152.0,21.0,68.18,72,7.0,10.0,17.0
149,57,149La,,-60220.0,200.0,45.97,92,7.0,10.0,17.0
144,57,144La,,-74850.0,13.0,16.230999999999998,87,7.0,5.0,12.0
136,57,136La,m,-85780.0,50.0,21.8,79,7.0,3.0,10.0
140,57,140La,,-84312.1,0.6,29.9641,83,7.0,1.0,8.0
143,57,143La,,-78171.0,7.0,29.811,86,7.0,4.0,11.0
130,57,130La,,-81627.0,26.0,110.44,73,7.0,9.0,16.0
142,57,142La,,-80024.0,6.0,77.594,85,7.0,3.0,10.0
138,57,138La,,-86513.4,0.4,72.57,81,7.0,1.0,8.0
117,57,117La,,-46270.0,200.0,151.0,60,7.0,10.0,17.0
145,57,145La,,-72835.0,12.0,65.9,88,7.0,6.0,13.0
134,57,134La,m,-84780.0,100.0,31.897,77,7.0,5.0,12.0
133,57,133La,,-85494.0,28.0,87.94,76,7.0,6.0,13.0
139,57,139La,m,-85422.0,0.7,165.8577,82,7.0,0.0,7.0
141,57,141La,,-82930.0,4.0,190.328,84,7.0,2.0,9.0
148,57,148La,,-62709.0,19.0,47.21,91,7.0,9.0,16.0
132,57,132La,m,-83530.0,40.0,135.36,75,7.0,7.0,14.0
147,57,147La,,-66678.0,11.0,15.7,90,7.0,8.0,15.0
135,57,135La,,-86643.0,9.0,119.533,78,7.0,4.0,11.0
127,57,127La,m,-77882.0,26.0,14.2,70,7.0,12.0,19.0
140,58,140Ce,m,-85966.3,1.3,1596.233,82,8.0,0.0,8.0
139,58,139Ce,m,-86203.5,2.1,255.075,81,8.0,1.0,9.0
141,58,141Ce,,-85431.1,1.3,662.07,83,8.0,1.0,9.0
138,58,138Ce,,-87565.9,0.5,788.7439999999998,80,8.0,2.0,10.0
152,58,152Ce,,-58980.0,200.0,81.2,94,8.0,12.0,20.0
148,58,148Ce,,-70398.0,11.0,158.467,90,8.0,8.0,16.0
142,58,142Ce,,-84532.9,2.4,641.2819999999998,84,8.0,2.0,10.0
150,58,150Ce,,-64847.0,12.0,97.0,92,8.0,10.0,18.0
149,58,149Ce,,-66670.0,10.0,55.1,91,8.0,9.0,17.0
128,58,128Ce,,-75534.0,28.0,207.09,70,8.0,12.0,20.0
145,58,145Ce,,-77070.0,30.0,64.3,87,8.0,5.0,13.0
131,58,131Ce,,-79710.0,30.0,63.09,73,8.0,9.0,17.0
134,58,134Ce,m,-81624.0,20.0,409.2,76,8.0,6.0,14.0
146,58,146Ce,,-75626.0,15.0,258.45,88,8.0,6.0,14.0
135,58,135Ce,,-84616.0,10.0,82.67,77,8.0,5.0,13.0
122,58,122Ce,,-57870.0,400.0,136.4,64,8.0,14.0,22.0
133,58,133Ce,m,-82381.0,16.0,37.2,75,8.0,7.0,15.0
130,58,130Ce,,-79423.0,28.0,253.85,72,8.0,10.0,18.0
132,58,132Ce,m,-80128.0,20.0,325.34,74,8.0,8.0,16.0
144,58,144Ce,,-80431.9,2.8,397.441,86,8.0,4.0,12.0
136,58,136Ce,m,-83413.5,0.7,552.05,78,8.0,4.0,12.0
124,58,124Ce,,-64920.0,300.0,141.9,66,8.0,16.0,24.0
127,58,127Ce,,-71979.0,29.0,7.3,69,8.0,13.0,21.0
137,58,137Ce,,-85918.8,0.4,160.36,79,8.0,3.0,11.0
143,58,143Ce,,-81606.4,2.4,18.9,85,8.0,3.0,11.0
126,58,126Ce,,-70821.0,28.0,169.59,68,8.0,14.0,22.0
147,58,147Ce,,-72014.0,9.0,117.711,89,8.0,7.0,15.0
144,59,144Pr,m,-80691.6,2.7,59.03,85,9.0,3.0,12.0
140,59,140Pr,,-84686.0,6.0,27.23,81,9.0,1.0,10.0
129,59,129Pr,m,-69390.0,30.0,91.1,70,9.0,12.0,21.0
150,59,150Pr,,-68301.0,9.0,109.9,91,9.0,9.0,18.0
141,59,141Pr,,-86014.5,1.5,145.4434,82,9.0,0.0,9.0
145,59,145Pr,,-79626.0,7.0,62.65,86,9.0,4.0,13.0
147,59,147Pr,,-75444.0,16.0,2.67,88,9.0,6.0,15.0
131,59,131Pr,m,-74150.0,50.0,87.57,72,9.0,10.0,19.0
146,59,146Pr,,-76670.0,30.0,12.220999999999998,87,9.0,5.0,14.0
148,59,148Pr,,-72535.0,15.0,76.8,89,9.0,7.0,16.0
135,59,135Pr,,-80936.0,12.0,41.43,76,9.0,6.0,15.0
138,59,138Pr,m,-82779.0,16.0,194.22,79,9.0,3.0,12.0
143,59,143Pr,,-83068.2,1.8,57.356,84,9.0,2.0,11.0
136,59,136Pr,,-81340.0,11.0,40.19,77,9.0,5.0,14.0
137,59,137Pr,,-83202.0,8.0,75.5,78,9.0,4.0,13.0
133,59,133Pr,,-77938.0,12.0,61.68,74,9.0,8.0,17.0
152,59,152Pr,m,-63643.0,19.0,114.8,93,9.0,11.0,20.0
142,59,142Pr,,-83786.4,1.5,3.694,83,9.0,1.0,10.0
139,59,139Pr,,-84829.0,4.0,113.92,80,9.0,2.0,11.0
149,59,149Pr,,-71039.0,10.0,40.0,90,9.0,8.0,17.0
142,60,142Nd,,-85950.1,1.3,1575.78,82,10.0,0.0,10.0
148,60,148Nd,,-77408.1,2.1,301.705,88,10.0,6.0,16.0
143,60,143Nd,,-84002.3,1.3,742.05,83,10.0,1.0,11.0
144,60,144Nd,,-83748.0,1.3,696.561,84,10.0,2.0,12.0
146,60,146Nd,,-80925.9,1.3,453.84,86,10.0,4.0,14.0
147,60,147Nd,,-78146.8,1.3,49.9268,87,10.0,5.0,15.0
145,60,145Nd,,-81432.0,1.3,67.167,85,10.0,3.0,13.0
156,60,156Nd,,-60202.1,1.3,67.2,96,10.0,14.0,24.0
136,60,136Nd,,-79199.0,12.0,373.75,76,10.0,6.0,16.0
149,60,149Nd,,-74375.5,2.1,108.521,89,10.0,7.0,17.0
135,60,135Nd,m,-76149.0,19.0,64.95,75,10.0,7.0,17.0
158,60,158Nd,,-53835.1,1.3,65.9,98,10.0,16.0,26.0
134,60,134Nd,m,-73353.0,12.0,294.17,74,10.0,8.0,18.0
133,60,133Nd,n,-72150.0,50.0,127.97,73,10.0,9.0,19.0
160,60,160Nd,,-46720.0,50.0,65.2,100,10.0,18.0,28.0
132,60,132Nd,,-71426.0,24.0,213.16,72,10.0,10.0,20.0
131,60,131Nd,,-67768.0,28.0,113.9,71,10.0,11.0,21.0
130,60,130Nd,,-66596.0,28.0,159.05,70,10.0,12.0,22.0
128,60,128Nd,,-60530.0,200.0,133.66,68,10.0,14.0,24.0
155,60,155Nd,,-62284.0,9.0,59.8,95,10.0,13.0,23.0
137,60,137Nd,,-79584.0,12.0,108.6,77,10.0,5.0,15.0
139,60,139Nd,n,-79400.0,28.0,95.3,79,10.0,3.0,13.0
140,60,140Nd,,-84257.0,3.0,773.65,80,10.0,2.0,12.0
151,60,151Nd,,-70943.2,1.1,22.4506,91,10.0,9.0,19.0
152,60,152Nd,,-70150.0,24.0,72.4,92,10.0,10.0,20.0
153,60,153Nd,m,-67138.7,2.7,49.94,93,10.0,11.0,21.0
154,60,154Nd,,-65579.6,1.0,70.8,94,10.0,12.0,22.0
138,60,138Nd,m,-78843.0,12.0,520.75,78,10.0,4.0,14.0
150,60,150Nd,,-73680.0,1.1,130.21,90,10.0,8.0,18.0
141,60,141Nd,,-84192.0,3.0,193.68400000000003,81,10.0,1.0,11.0
149,61,149Pm,m,-75824.2,2.2,114.312,88,11.0,6.0,17.0
161,61,161Pm,,-50087.0,9.0,61.5,100,11.0,18.0,29.0
150,61,150Pm,,-73597.0,20.0,56.8,89,11.0,7.0,18.0
151,61,151Pm,,-73386.0,5.0,85.119,90,11.0,8.0,19.0
145,61,145Pm,,-81267.5,2.8,61.25,84,11.0,2.0,13.0
160,61,160Pm,m,-52704.0,11.0,191.0,99,11.0,17.0,28.0
152,61,152Pm,,-71254.0,26.0,16.03,91,11.0,9.0,20.0
155,61,155Pm,,-66940.0,5.0,67.435,94,11.0,12.0,23.0
147,61,147Pm,,-79042.0,1.3,91.1051,86,11.0,4.0,15.0
156,61,156Pm,,-64166.8,1.2,85.6,95,11.0,13.0,24.0
153,61,153Pm,,-70648.0,9.0,32.194,92,11.0,10.0,21.0
157,61,157Pm,,-62297.0,7.0,66.0,96,11.0,14.0,25.0
146,61,146Pm,,-79454.0,4.0,17.23,85,11.0,3.0,14.0
148,61,148Pm,,-76866.0,6.0,75.7,87,11.0,5.0,16.0
143,61,143Pm,,-82960.7,2.9,272.04,82,11.0,0.0,11.0
144,61,144Pm,,-81416.1,2.9,60.727,83,11.0,1.0,12.0
141,61,141Pm,n,-77992.0,14.0,196.87,80,11.0,2.0,13.0
139,61,139Pm,,-77501.0,14.0,188.7,78,11.0,4.0,15.0
131,61,131Pm,,-59770.0,200.0,273.0,70,11.0,12.0,23.0
140,61,140Pm,,-78212.0,24.0,139.95,79,11.0,3.0,14.0
142,61,142Pm,,-81142.0,24.0,208.52,81,11.0,1.0,12.0
137,61,137Pm,,-74073.0,13.0,163.7,76,11.0,6.0,17.0
133,62,133Sm,m,-57110.0,310.0,139.7,71,12.0,11.0,23.0
137,62,137Sm,m,-67890.0,60.0,209.24,75,12.0,7.0,19.0
150,62,150Sm,,-77051.3,1.1,333.955,88,12.0,6.0,18.0
154,62,154Sm,,-72455.6,1.3,81.98100000000002,92,12.0,10.0,22.0
142,62,142Sm,n,-75319.7,2.0,768.08,80,12.0,2.0,14.0
160,62,160Sm,,-60233.2,2.0,70.8,98,12.0,16.0,28.0
149,62,149Sm,,-77135.9,1.2,22.507,87,12.0,5.0,17.0
164,62,164Sm,m,-46440.0,4.0,69.0,102,12.0,20.0,32.0
138,62,138Sm,,-71498.0,12.0,346.71,76,12.0,6.0,18.0
153,62,153Sm,,-72560.1,1.0,7.536,91,12.0,9.0,21.0
141,62,141Sm,m,-75758.0,9.0,1.58,79,12.0,3.0,15.0
132,62,132Sm,,-55140.0,300.0,131.0,70,12.0,12.0,24.0
159,62,159Sm,m,-60932.0,6.0,71.8,97,12.0,15.0,27.0
147,62,147Sm,,-79266.0,1.3,121.212,85,12.0,3.0,15.0
148,62,148Sm,,-79336.1,1.2,550.255,86,12.0,4.0,16.0
143,62,143Sm,,-79517.1,2.7,107.69,81,12.0,1.0,13.0
155,62,155Sm,m,-70174.7,1.3,16.5467,93,12.0,11.0,23.0
151,62,151Sm,,-74576.5,1.1,4.8210000000000015,89,12.0,7.0,19.0
139,62,139Sm,m,-71923.0,11.0,111.92,77,12.0,5.0,17.0
157,62,157Sm,,-66678.0,4.0,52.393,95,12.0,13.0,25.0
136,62,136Sm,m,-64546.0,12.0,254.92,74,12.0,8.0,20.0
145,62,145Sm,m,-71836.4,1.8,893.788,83,12.0,1.0,13.0
144,62,144Sm,,-81965.6,1.5,1660.027,82,12.0,0.0,12.0
156,62,156Sm,,-69361.0,9.0,75.89,94,12.0,12.0,24.0
130,62,130Sm,,-47700.0,400.0,122.0,68,12.0,14.0,26.0
146,62,146Sm,,-80996.0,3.0,747.174,84,12.0,2.0,14.0
140,62,140Sm,,-75456.0,12.0,530.68,78,12.0,4.0,16.0
152,62,152Sm,,-74763.0,1.0,121.7818,90,12.0,8.0,20.0
158,62,158Sm,,-65252.0,5.0,72.8,96,12.0,14.0,26.0
134,62,134Sm,,-61380.0,200.0,163.0,72,12.0,10.0,22.0
140,63,140Eu,,-66990.0,50.0,174.59,77,13.0,5.0,18.0
152,63,152Eu,q,-72798.7,1.2,45.5998,89,13.0,7.0,20.0
150,63,150Eu,m,-74750.0,6.0,41.7,87,13.0,5.0,18.0
160,63,160Eu,,-63493.4,0.9,93.0,97,13.0,15.0,28.0
139,63,139Eu,m,-65250.0,13.0,116.16,76,13.0,6.0,19.0
151,63,151Eu,m,-74456.9,1.2,21.541,88,13.0,6.0,19.0
154,63,154Eu,n,-71593.1,1.2,68.1702,91,13.0,9.0,22.0
147,63,147Eu,m,-76919.3,2.6,229.323,84,13.0,2.0,15.0
143,63,143Eu,,-74241.0,11.0,258.82,80,13.0,2.0,15.0
146,63,146Eu,m,-76452.0,6.0,14.51,83,13.0,1.0,14.0
155,63,155Eu,,-71818.3,1.3,78.638,92,13.0,10.0,23.0
157,63,157Eu,,-69459.0,4.0,76.709,94,13.0,12.0,25.0
145,63,145Eu,m,-77276.0,3.0,329.92,82,13.0,0.0,13.0
144,63,144Eu,,-75619.0,11.0,333.29,81,13.0,1.0,14.0
156,63,156Eu,,-70083.0,4.0,22.5176,93,13.0,11.0,24.0
148,63,148Eu,,-76297.0,10.0,232.8,85,13.0,3.0,16.0
159,63,159Eu,,-66043.0,4.0,75.41,96,13.0,14.0,27.0
153,63,153Eu,,-73367.5,1.2,83.36728000000002,90,13.0,8.0,21.0
141,63,141Eu,m,-69830.0,13.0,96.45,78,13.0,4.0,17.0
137,63,137Eu,,-60146.0,4.0,273.2,74,13.0,8.0,21.0
149,63,149Eu,,-76441.0,4.0,149.732,86,13.0,4.0,17.0
142,63,142Eu,,-71310.0,30.0,178.87,79,13.0,3.0,16.0
134,64,134Gd,,-41530.0,400.0,115.0,70,14.0,12.0,26.0
138,64,138Gd,m,-53430.0,200.0,220.86,74,14.0,8.0,22.0
156,64,156Gd,,-72535.3,1.0,88.97,92,14.0,10.0,24.0
152,64,152Gd,,-74707.3,1.0,344.279,88,14.0,6.0,20.0
155,64,155Gd,,-72070.3,1.0,60.0106,91,14.0,9.0,23.0
157,64,157Gd,m,-70760.0,1.0,54.536,93,14.0,11.0,25.0
153,64,153Gd,,-72882.9,1.0,41.5568,89,14.0,7.0,21.0
159,64,159Gd,,-68561.9,1.0,50.627,95,14.0,13.0,27.0
160,64,160Gd,,-67942.1,1.1,75.263,96,14.0,14.0,28.0
158,64,158Gd,,-70690.0,1.0,79.5143,94,14.0,12.0,26.0
154,64,154Gd,,-73706.4,1.0,123.0709,90,14.0,8.0,22.0
140,64,140Gd,,-61782.0,28.0,328.6,76,14.0,6.0,20.0
166,64,166Gd,m,-52769.4,1.9,70.0,102,14.0,20.0,34.0
143,64,143Gd,m,-68080.0,200.0,45.1,79,14.0,3.0,17.0
164,64,164Gd,,-59693.7,1.0,73.27,100,14.0,18.0,32.0
161,64,161Gd,,-65506.1,1.5,71.9,97,14.0,15.0,29.0
149,64,149Gd,,-75127.0,3.0,164.988,85,14.0,3.0,17.0
141,64,141Gd,,-63224.0,20.0,113.16,77,14.0,5.0,19.0
147,64,147Gd,,-75356.9,1.9,997.11,83,14.0,1.0,15.0
148,64,148Gd,,-76269.4,1.5,784.433,84,14.0,2.0,16.0
142,64,142Gd,,-66960.0,28.0,515.2,78,14.0,4.0,18.0
146,64,146Gd,,-76086.0,4.0,1579.4,82,14.0,0.0,14.0
144,64,144Gd,m,-68327.0,28.0,743.0,80,14.0,2.0,16.0
162,64,162Gd,,-64281.0,4.0,71.6,98,14.0,16.0,30.0
151,64,151Gd,,-74188.9,3.0,108.094,87,14.0,5.0,19.0
145,64,145Gd,,-72927.0,20.0,27.3,81,14.0,1.0,15.0
150,64,150Gd,,-75764.0,6.0,638.045,86,14.0,4.0,18.0
158,65,158Tb,m,-69360.6,1.8,55.04,93,15.0,11.0,26.0
142,65,142Tb,n,-55910.0,700.0,181.6,77,15.0,5.0,20.0
144,65,144Tb,p,-61851.0,28.0,196.5,79,15.0,3.0,18.0
166,65,166Tb,m,-57649.8,2.1,40.0,101,15.0,19.0,34.0
147,65,147Tb,,-70743.0,8.0,50.6,82,15.0,0.0,15.0
156,65,156Tb,,-70091.0,4.0,49.63,91,15.0,9.0,24.0
155,65,155Tb,,-71250.0,10.0,65.4622,90,15.0,8.0,23.0
146,65,146Tb,,-67760.0,40.0,241.09,81,15.0,1.0,16.0
157,65,157Tb,,-70763.8,1.0,60.881,92,15.0,10.0,25.0
161,65,161Tb,,-67461.8,1.2,56.289,96,15.0,14.0,29.0
149,65,149Tb,,-71489.0,4.0,35.78,84,15.0,2.0,17.0
162,65,162Tb,,-65879.5,2.0,39.1,97,15.0,15.0,30.0
163,65,163Tb,,-64596.0,4.0,54.0,98,15.0,16.0,31.0
160,65,160Tb,,-67836.5,1.1,63.6856,95,15.0,13.0,28.0
152,65,152Tb,n,-70220.0,40.0,235.39,87,15.0,5.0,20.0
150,65,150Tb,m,-70645.0,26.0,397.2,85,15.0,3.0,18.0
151,65,151Tb,,-71624.0,4.0,22.922,86,15.0,4.0,19.0
148,65,148Tb,,-70537.0,12.0,90.1,83,15.0,1.0,16.0
159,65,159Tb,,-69532.6,1.1,57.9964,94,15.0,12.0,27.0
153,65,153Tb,m,-71151.0,4.0,80.72,88,15.0,6.0,21.0
161,66,161Dy,,-68055.5,0.7,25.65136,95,16.0,13.0,29.0
162,66,162Dy,m,-65993.1,0.8,80.661,96,16.0,14.0,30.0
156,66,156Dy,,-70529.4,1.0,137.77,90,16.0,8.0,24.0
170,66,170Dy,,-53710.0,200.0,71.47,104,16.0,22.0,38.0
158,66,158Dy,,-70407.2,2.3,98.918,92,16.0,10.0,26.0
166,66,166Dy,,-62584.5,0.8,76.587,100,16.0,18.0,34.0
165,66,165Dy,m,-63504.1,0.7,83.3942,99,16.0,17.0,33.0
159,66,159Dy,,-69167.2,1.4,56.62600000000001,93,16.0,11.0,27.0
164,66,164Dy,,-65967.6,0.7,73.393,98,16.0,16.0,32.0
157,66,157Dy,n,-69226.0,5.0,61.14100000000001,91,16.0,9.0,25.0
160,66,160Dy,,-69672.4,0.7,86.7877,94,16.0,12.0,28.0
167,66,167Dy,,-59911.0,4.0,57.2,101,16.0,19.0,35.0
163,66,163Dy,,-66380.9,0.7,73.4448,97,16.0,15.0,31.0
144,66,144Dy,,-56570.0,7.0,492.5,78,16.0,4.0,20.0
146,66,146Dy,m,-59621.0,7.0,682.62,80,16.0,2.0,18.0
140,66,140Dy,m,-40660.0,400.0,202.2,74,16.0,8.0,24.0
155,66,155Dy,m,-68922.0,10.0,39.384,89,16.0,7.0,23.0
150,66,150Dy,,-69310.0,4.0,803.64,84,16.0,2.0,18.0
148,66,148Dy,,-67859.0,9.0,1677.3,82,16.0,0.0,16.0
151,66,151Dy,,-68752.0,3.0,209.57,85,16.0,3.0,19.0
143,66,143Dy,n,-51763.0,13.0,66.7,77,16.0,5.0,21.0
149,66,149Dy,m,-65033.0,9.0,1034.6,83,16.0,1.0,17.0
154,66,154Dy,,-70394.0,7.0,334.34,88,16.0,6.0,22.0
142,66,142Dy,,-50120.0,730.0,315.9,76,16.0,6.0,22.0
147,66,147Dy,,-64196.0,9.0,72.04,81,16.0,1.0,17.0
153,66,153Dy,,-69143.0,4.0,108.84,87,16.0,5.0,21.0
152,66,152Dy,,-70118.0,5.0,613.83,86,16.0,4.0,20.0
145,66,145Dy,,-58243.0,7.0,66.3,79,16.0,3.0,19.0
165,67,165Ho,m,-64536.3,0.8,94.7,98,15.0,16.0,31.0
162,67,162Ho,,-66041.0,3.0,38.34,95,15.0,13.0,28.0
167,67,167Ho,m,-62020.0,5.0,98.0,100,15.0,18.0,33.0
164,67,164Ho,m,-64840.7,1.4,37.341,97,15.0,15.0,30.0
166,67,166Ho,,-63070.3,0.8,5.9689999999999985,99,15.0,17.0,32.0
147,67,147Ho,,-55757.0,5.0,584.96,80,15.0,2.0,17.0
160,67,160Ho,,-66382.0,15.0,59.98,93,15.0,11.0,26.0
151,67,151Ho,,-63623.0,8.0,41.0,84,15.0,2.0,17.0
152,67,152Ho,m,-63445.0,13.0,160.0,85,15.0,3.0,18.0
153,67,153Ho,m,-64943.0,5.0,68.7,86,15.0,4.0,19.0
141,67,141Ho,,-34360.0,400.0,66.0,74,15.0,8.0,23.0
159,67,159Ho,m,-67124.0,3.0,97.45,92,15.0,10.0,25.0
156,67,156Ho,,-65540.0,40.0,52.37,89,15.0,7.0,22.0
157,67,157Ho,,-66833.0,23.0,53.048,90,15.0,8.0,23.0
155,67,155Ho,,-66040.0,17.0,110.14,88,15.0,6.0,21.0
170,67,170Ho,,-56240.0,50.0,120.0,103,15.0,21.0,36.0
161,67,161Ho,m,-66985.2,2.2,99.63,94,15.0,12.0,27.0
145,67,145Ho,m,-49020.0,100.0,486.9,78,15.0,4.0,19.0
163,67,163Ho,,-66378.0,0.7,100.03,96,15.0,14.0,29.0
144,67,144Ho,m,-44345.0,8.0,60.6,77,15.0,5.0,20.0
169,67,169Ho,,-58796.0,20.0,97.0,102,15.0,20.0,35.0
168,67,168Ho,p,-59870.0,30.0,59.0,101,15.0,19.0,34.0
158,67,158Ho,p,-66010.0,80.0,67.2,91,15.0,9.0,24.0
154,67,154Ho,,-64639.0,8.0,26.9,87,15.0,5.0,20.0
149,67,149Ho,,-61646.0,12.0,48.8,82,15.0,0.0,15.0
143,67,143Ho,,-42050.0,300.0,318.0,76,15.0,6.0,21.0
161,68,161Er,,-65201.0,9.0,59.50100000000001,93,14.0,11.0,25.0
165,68,165Er,,-64521.4,0.9,47.159,97,14.0,15.0,29.0
164,68,164Er,,-65942.6,0.7,91.38,96,14.0,14.0,28.0
149,68,149Er,p,-50440.0,30.0,111.3,81,14.0,1.0,15.0
163,68,163Er,m,-64722.0,5.0,69.23,95,14.0,13.0,27.0
150,68,150Er,,-57831.0,17.0,1578.33,82,14.0,0.0,14.0
162,68,162Er,m,-64308.2,0.8,102.04,94,14.0,12.0,26.0
151,68,151Er,,-58266.0,16.0,801.52,83,14.0,1.0,15.0
148,68,148Er,m,-48566.0,10.0,645.89,80,14.0,2.0,16.0
166,68,166Er,,-64924.1,0.3,80.5776,98,14.0,16.0,30.0
167,68,167Er,,-63289.26,0.29,79.3221,99,14.0,17.0,31.0
159,68,159Er,,-64561.0,4.0,59.249,91,14.0,9.0,23.0
