AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
15,7,15N,11717,4,,8,1.0,0.0,,,1.0,6.082201995573399,17.030165587605524,0.06666666666666667,1.0,0.0
22,8,22O,9280,60,3.199,14,0.0,6.0,,,6.0,7.851424410539689,19.98544395410103,1.6363636363636365,0.0,0.0
24,8,24O,18500,160,4.79,16,0.0,4.0,,,4.0,8.320335292207616,19.414115681817773,2.6666666666666665,0.0,0.0
28,8,28O, 52080.0, 700.0,,20,0.0,0.0,,,0.0,9.220872584116892,18.441745168233787,5.142857142857143,0.0,0.0
20,8,20O,3796.2,0.9,1.67368,12,0.0,4.0,,,4.0,7.368062997280773,20.630576392386168,0.8,0.0,0.0
23,8,23O,14620,120,2.78,15,0.0,5.0,,,5.0,8.087579399090064,19.691497667349722,2.130434782608696,0.0,1.0
21,8,21O,8062,12,1.22,13,0.0,5.0,,,5.0,7.611662611020244,20.297766962720655,1.1904761904761905,0.0,1.0
19,8,19O,3332.9,2.6,0.096,11,0.0,3.0,,,3.0,7.1203673589019925,20.986345899921666,0.47368421052631576,0.0,1.0
26,8,26O,34660,160,1.277,18,0.0,2.0,,,2.0,8.776382955329126,18.902978673016584,3.8461538461538463,0.0,0.0
25,8,25O,27330,170,,17,0.0,3.0,,,3.0,8.549879733383484,19.151730602779008,3.24,0.0,1.0
27,8,27O, 44670.0, 500.0,,19,0.0,1.0,,,1.0,8.999999999999998,18.666666666666668,4.481481481481482,0.0,1.0
13,8,13O,23115,10,2.75,5,0.0,3.0,,,3.0,5.528774813678871,23.81626073584745,0.6923076923076923,0.0,1.0
15,8,15O, 14020.0,  40.0,5.183,7,0.0,1.0,,,1.0,6.082201995573399,22.706887450140698,0.06666666666666667,0.0,1.0
14,8,14O,8007.781,0.025,5.173,6,0.0,2.0,,,2.0,5.808785733563703,23.23514293425482,0.2857142857142857,0.0,0.0
