n,z,firstExcitedStateEnergy(keV)
62,50,1256.69
63,50,77.389
64,50,1299.907
65,50,497.334
66,50,1293.56
67,50,158.562
68,50,1229.666
69,50,23.871
70,50,1171.265
71,50,6.31
72,50,1140.51
73,50,24.6
74,50,1131.739
75,50,27.5
76,50,1141.15
77,50,5.07
78,50,1168.82
79,50,35.15
80,50,1221.26
82,50,4041.2
83,50,853.7
84,50,725.6
86,50,688
88,50,715
54,51,1219.41
55,51,103.5
56,51,768.62
57,51,259.5
58,51,402
59,51,194.7
60,51,487.4
61,51,38.4
62,51,644.78
63,51,27.33
64,51,723.583
65,51,93.99
66,51,527.31
67,51,31.26
68,51,270.52
70,51,37.1298
72,51,160.33
73,51,10.8627
74,51,332.06
75,51,17.7
76,51,490.94
78,51,645.14
79,51,4.8
80,51,798.494
82,51,962.3
83,51,13
84,51,281.8
85,51,43.4
89,51,70.9
53,52,150
54,52,664.8
55,52,90.3
56,52,625.2
57,52,98.12
58,52,657.2
59,52,117.1
60,52,689
62,52,708.74
63,52,20
64,52,678.92
65,52,274.4
66,52,605.706
67,52,257.484
68,52,560.438
69,52,212.191
70,52,564.094
71,52,158.994
72,52,602.7271
73,52,35.4925
74,52,666.338
75,52,61.161
76,52,743.216
77,52,105.51
78,52,839.494
79,52,182.258
80,52,974.22
81,52,308.242
82,52,1279.11
83,52,658.65
84,52,606.64
85,52,608.2
86,52,460.8
87,52,271
88,52,422.9
58,53,37.2
59,53,55
60,53,63.6
62,53,56.7
64,53,58.87
66,53,90.1
67,53,25.07
68,53,95.71
69,53,53.114
70,53,138.33
71,53,55.48
72,53,113.544
73,53,56.43
74,53,57.608
75,53,27.362
76,53,27.793
77,53,39.9525
78,53,149.716
79,53,22
80,53,312.075
81,53,44.39
82,53,603.68
83,53,86.73
84,53,243.3
85,53,67.9
86,53,209.5
56,54,469.7
58,54,466
59,54,125.91
60,54,450.08
61,54,208
62,54,393.6
63,54,204.82
64,54,337.32
65,54,169.34
66,54,322.61
67,54,153.99
68,54,331.28
69,54,97.37
70,54,354.03
71,54,111.79
72,54,388.632
73,54,124.751
74,54,442.911
75,54,39.5774
76,54,536.068
77,54,80.1854
78,54,667.715
79,54,233.221
80,54,847.041
81,54,288.455
82,54,1313.06
83,54,601.05
84,54,588.826
85,54,22.74
86,54,376.658
87,54,35.6
88,54,287.2
89,54,78.8
90,54,252.6
58,55,74.1
61,55,100
66,55,68.5
67,55,15.56
68,55,30.59
69,55,169.51
70,55,77.11
71,55,217.87
72,55,66.09
73,55,187.88
74,55,6.545
75,55,80.37
76,55,78.73
77,55,86.2
78,55,80.9979
79,55,11.2442
80,55,249.767
81,55,104.8
82,55,455.491
83,55,10.86
84,55,218.633
86,55,69.05
87,55,12.929
88,55,76.6
89,55,42.8
90,55,88.7
91,55,47
62,56,194
64,56,186
65,56,134.42
66,56,195.9
67,56,92.68
68,56,229.91
70,56,256.02
71,56,56.17
72,56,284
73,56,8.42
74,56,357.38
75,56,108.077
76,56,464.508
77,56,12.327
78,56,604.7223
79,56,220.968
80,56,818.522
81,56,283.54
82,56,1435.805
83,56,627.318
84,56,602.37
85,56,48.53
86,56,359.596
87,56,33.29
88,56,199.326
89,56,112.64
90,56,181.04
91,56,46.22
92,56,141.8
60,57,151
70,57,14.2
72,57,68.18
73,57,110.44
74,57,26.22
75,57,135.36
76,57,87.94
77,57,31.897
78,57,119.533
79,57,21.8
80,57,10.59
81,57,72.57
82,57,165.8577
83,57,29.9641
84,57,190.328
85,57,77.594
86,57,29.811
87,57,16.231
88,57,65.9
90,57,15.7
91,57,47.21
92,57,45.97
64,58,136.4
66,58,141.9
68,58,169.59
69,58,7.3
70,58,207.09
72,58,253.85
73,58,63.09
74,58,325.34
75,58,37.2
76,58,409.2
77,58,82.67
78,58,552.05
79,58,160.36
80,58,788.744
81,58,255.075
82,58,1596.233
83,58,662.07
84,58,641.282
85,58,18.9
86,58,397.441
87,58,64.3
88,58,258.45
89,58,117.711
90,58,158.467
91,58,55.1
92,58,97
94,58,81.2
70,59,91.1
72,59,87.57
74,59,61.68
76,59,41.43
77,59,40.19
78,59,75.5
79,59,194.22
80,59,113.92
81,59,27.23
82,59,145.4434
83,59,3.694
84,59,57.356
85,59,59.03
86,59,62.65
87,59,12.221
88,59,2.67
89,59,76.8
90,59,40
91,59,109.9
93,59,114.8
68,60,133.66
70,60,159.05
71,60,113.9
72,60,213.16
73,60,127.97
74,60,294.17
75,60,64.95
76,60,373.75
77,60,108.6
78,60,520.75
79,60,95.3
80,60,773.65
81,60,193.684
82,60,1575.78
83,60,742.05
84,60,696.561
85,60,67.167
86,60,453.84
87,60,49.9268
88,60,301.705
89,60,108.521
90,60,130.21
91,60,22.4506
92,60,72.4
93,60,49.94
94,60,70.8
95,60,59.8
96,60,67.2
98,60,65.9
100,60,65.2
70,61,273
76,61,163.7
78,61,188.7
79,61,139.95
80,61,196.87
81,61,208.52
82,61,272.04
83,61,60.727
84,61,61.25
85,61,17.23
86,61,91.1051
87,61,75.7
88,61,114.312
89,61,56.8
90,61,85.119
91,61,16.03
92,61,32.194
94,61,67.435
95,61,85.6
96,61,66
99,61,191
100,61,61.5
68,62,122
70,62,131
71,62,139.7
72,62,163
74,62,254.92
75,62,209.24
76,62,346.71
77,62,111.92
78,62,530.68
79,62,1.58
80,62,768.08
81,62,107.69
82,62,1660.027
83,62,893.788
84,62,747.174
85,62,121.212
86,62,550.255
87,62,22.507
88,62,333.955
89,62,4.821
90,62,121.7818
91,62,7.536
92,62,81.981
93,62,16.5467
94,62,75.89
95,62,52.393
96,62,72.8
97,62,71.8
98,62,70.8
102,62,69
74,63,273.2
76,63,116.16
77,63,174.59
78,63,96.45
79,63,178.87
80,63,258.82
81,63,333.29
82,63,329.92
83,63,14.51
84,63,229.323
85,63,232.8
86,63,149.732
87,63,41.7
88,63,21.541
89,63,45.5998
90,63,83.36728
91,63,68.1702
92,63,78.638
93,63,22.5176
94,63,76.709
96,63,75.41
97,63,93
70,64,115
74,64,220.86
76,64,328.6
77,64,113.16
78,64,515.2
79,64,45.1
80,64,743
81,64,27.3
82,64,1579.4
83,64,997.11
84,64,784.433
85,64,164.988
86,64,638.045
87,64,108.094
88,64,344.279
89,64,41.5568
90,64,123.0709
91,64,60.0106
92,64,88.97
93,64,54.536
94,64,79.5143
95,64,50.627
96,64,75.263
97,64,71.9
98,64,71.6
100,64,73.27
102,64,70
77,65,181.6
79,65,196.5
81,65,241.09
82,65,50.6
83,65,90.1
84,65,35.78
85,65,397.2
86,65,22.922
87,65,235.39
88,65,80.72
90,65,65.4622
91,65,49.63
92,65,60.881
93,65,55.04
94,65,57.9964
95,65,63.6856
96,65,56.289
97,65,39.1
98,65,54
101,65,40
74,66,202.2
76,66,315.9
77,66,66.7
78,66,492.5
79,66,66.3
80,66,682.62
81,66,72.04
82,66,1677.3
83,66,1034.6
84,66,803.64
85,66,209.57
86,66,613.83
87,66,108.84
88,66,334.34
89,66,39.384
90,66,137.77
91,66,61.141
92,66,98.918
93,66,56.626
94,66,86.7877
95,66,25.65136
96,66,80.661
97,66,73.4448
98,66,73.393
99,66,83.3942
100,66,76.587
101,66,57.2
104,66,71.47
74,67,66
76,67,318
77,67,60.6
78,67,486.9
80,67,584.96
82,67,48.8
84,67,41
85,67,160
86,67,68.7
87,67,26.9
88,67,110.14
89,67,52.37
90,67,53.048
91,67,67.2
92,67,97.45
93,67,59.98
94,67,99.63
95,67,38.34
96,67,100.03
97,67,37.341
98,67,94.7
99,67,5.969
100,67,98
101,67,59
102,67,97
103,67,120
77,68,175
79,68,80.9
80,68,645.89
81,68,111.3
82,68,1578.33
83,68,801.52
84,68,808.3
85,68,266.5
86,68,560.8
87,68,88.08
88,68,344.53
89,68,10.3
90,68,192.15
91,68,59.249
92,68,125.47
93,68,59.501
94,68,102.04
95,68,69.23
96,68,91.38
97,68,47.159
98,68,80.5776
99,68,79.3221
100,68,79.804
101,68,64.55
102,68,78.59
103,68,79.05
104,68,77
76,69,338.4
77,69,182
78,69,68
81,69,16.89
83,69,141.61
84,69,43.2
85,69,133.2
86,69,41
87,69,115.2
88,69,35.23
89,69,74.1
90,69,52.98
91,69,42.11
92,69,7.51
93,69,44.651
94,69,13.52
96,69,11.54
98,69,10.4
99,69,3
100,69,8.41017
101,69,38.7139
102,69,5.0359
103,69,62.529
104,69,2.46
106,69,2.6
82,70,1531.4
83,70,567.03
84,70,821.3
85,70,168.7
86,70,536
87,70,205.5
88,70,358.2
90,70,243
91,70,43.67
92,70,166.72
93,70,53.88
94,70,123.31
95,70,87.53
96,70,102.37
97,70,29.658
98,70,87.73
99,70,24.1999
100,70,84.25468
101,70,66.732
102,70,78.7427
103,70,78.647
104,70,76.471
105,70,104.5263
106,70,82.135
107,70,104.51
108,70,84
79,71,22
80,71,78
82,71,80
84,71,20
86,71,20.9
91,71,5
92,71,16.84
93,71,31.3
95,71,34.37
98,71,29
100,71,71.13
101,71,41.86
102,71,117.181
103,71,44.6966
104,71,113.806
105,71,122.845
106,71,121.6214
107,71,42.4
108,71,35
109,71,13.9
82,72,1513
