Z,N,A,MthFL,FirstExc,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
20,29,49,-39.92,2023.2,0.0,1.0,1.0,13.390518279406722,103.84483563621541,1.653061224489796,0.0,1.0
20,30,50,-38.53,1026.72,0.0,2.0,2.0,13.572088082974531,103.14786943060646,2.0,0.0,0.0
20,31,51,-33.36,1240.0,0.0,3.0,3.0,13.752451353579682,102.46924537961334,2.372549019607843,0.0,1.0
20,32,52,-31.0,2563.0,0.0,4.0,4.0,13.93163953576523,101.80813506905363,2.769230769230769,0.0,0.0
20,33,53,-24.82,1746.0,0.0,5.0,5.0,14.109682667364165,101.16376252072422,3.188679245283019,0.0,1.0
20,34,54,-22.12,2043.0,0.0,6.0,6.0,14.286609467713793,100.53539995798597,3.6296296296296298,0.0,0.0
21,18,39,-15.19,950.0,1.0,2.0,3.0,11.500315051230226,123.8495467055563,0.23076923076923078,1.0,0.0
21,19,40,-21.38,34.3,1.0,1.0,2.0,11.696070952851462,122.80874500494039,0.1,1.0,1.0
21,20,41,-29.59,1716.48,1.0,0.0,1.0,11.890202136872691,121.8020706704032,0.024390243902439025,1.0,0.0
21,21,42,-32.81,611.0509999999999,1.0,1.0,2.0,12.082761235960547,120.8276123596055,0.0,1.0,1.0
21,22,43,-38.44,151.79,1.0,2.0,3.0,12.273797969521459,119.88360807439568,0.023255813953488372,1.0,0.0
21,23,44,-39.73,67.8679,1.0,3.0,4.0,12.463359368739502,118.968430337968,0.09090909090909091,1.0,1.0
21,24,45,-43.43,12.4,1.0,4.0,5.0,12.651489979526238,118.0805731422449,0.2,1.0,0.0
21,25,46,-43.39,52.011,1.0,3.0,4.0,12.838232045991905,117.21864041992612,0.34782608695652173,1.0,1.0
21,26,47,-46.04,766.83,1.0,2.0,3.0,13.023625676689214,116.38133583424407,0.5319148936170213,1.0,0.0
21,27,48,-45.15,130.93,1.0,1.0,2.0,13.207708995578505,115.56745371131194,0.75,1.0,1.0
21,28,49,-46.42,2228.63,1.0,0.0,1.0,13.390518279406722,114.77587096634335,1.0,1.0,0.0
21,29,50,-43.86,256.895,1.0,1.0,2.0,13.572088082974531,114.00553989698608,1.28,1.0,1.0
