11,59,11B,,j,,42230,,,,,,,,,80,,,,,,,33570,,,,,,,,,80,,,,,,,2p,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,60,11C,,,,,10649.4,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3402,m,0.0053,3/2-*,,,,,,,,,12,,,,,,,,,,1934,B+=100,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,68,11C,,i,,22810,,,,,,,,,40,,,,,,,12160,,,,,,,,,40,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,1/2+,,,,T=3/2,12,,,,,,,,,,1971,p=?,,,,,,,,,,,,,,,,,,,,,,
11,70,11N,,,,,24366,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,,,,ys,7,,,,,,1/2+,,,,,,,,,,12,,,,,,,,,,1974,p=100,,,,,,,,,,,,
11,71,11N,,m,,25110,,,,,,,,,60,,,,,,,,,740,,,,,,,,,60,,,,,,,,,,,,690,,,,,ys,80,,,,,1/2-,,,,,,,,,,12,,,,,,,,,,1974,p=100,,,,,,,,,,,,,,,,,,,,
11,80,11O,,,,,47740,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,ys,12,,,,,(3/2-),,,,,,,,20,,,,,,,,,,2019,2p=100,,,,,,,,,,,,,,,,
12,30,12Li,,,,49010,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1-,2-)",,,,,,,17,,,,,,,,,,2008,n,?,,,,,,,,,,
12,40,12Be,,,,25077.8,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46,,ms,0.05,,,0+,,,,,,,,,,,,17,,,,,,,,,,1966,B-=100;B-n=0.50,3,,,,,,,,,,,,,,,,,,,
12,41,12Be,m,,27328.8,,,,,,,,2.1,,,,,,2251,,,,,,,,,,1,,,,,,,,,,,,233,,,,,ns,7,,,,,,0+,,,,,,,,,,,,17,,,,,,,,,,2007,IT=100,,,,,,,,,,,,,,,,,,,,,
12,50,12B,,,,,13369.4,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,ms,0.02,,,1+*,,,,,,,,,,,17,,,,,,,,,,1935,B-=100;B-A=0.60,2,,,,,,,,,,,,,,,,,,,
12,58,12B,,i,,26088,,,,,,,,,19,,,,,,,12719,,,,,,,,,19,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,60,12C,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,0+,,,,,,,,,,,,17,,,,,,,,,,1919,IS=98.94,6,,,,,,,
12,68,12C,,i,,15108,,,,,,,,,,3,,,,,,,15108,,,,,,,,,,3,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,1+,,,,,,T=1,,,17,,,,,,,,,,,,,,,IT=?;A,?,,,,,,,,,,,
12,69,12C,,j,,27595,,,,,,,,2.4,,,,,27595,,,,,,,,2.4,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,70,12N,,,,,17338.1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ms,0.016,,1+*,,,,,,,,,,,17,,,,,,,,,,1949,B+=100;B+A=1.93,4,,,,,,,,,,,,,,,,,,,,,
12,78,12N,,i,,29580,,,,,,,,,,4,,,,,,,12242,,,,,,,,,,4,,,,,,,2p,,,,>5,,,,,zs,,,,,,,,(0+),,,,T=2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,80,12O,,,,,32013,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,zs,3.3,,,,0+,,,,,,,,,,,,17,,,,,,,,,,1978,2p=100,,,,,,,,,,,,,
13,30,13Li,,,,56980,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,zs,1.2,,,,3/2-#,,,,,,,,,,,,,,,,,,,,,2008,2n=100,,,,,,,,,,,,,,,
13,40,13Be,,,,33659,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,zs,0.7,,,,(1/2-),,,,,,,,,,,,,,,,,,,,1983,n,?,,,,,,,,,,,,,,,
13,43,13Be,p,,35160,,,,,,,,,50,,,,,,,,1500,,,,,,,,,50,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,(5/2+),,,,,,,,,,,,,,,,,,,,1992,,,,,,,,,,,,,,,,,,
13,50,13B,,,,,16561.9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,,ms,0.18,,,3/2-,,,,,,,,,,0,,,,,,,,,,1956,B-=100;B-n=0.266,36,,,,,,,,,,,,,,,,,,,,
13,60,13C,,,,,,3125.0093,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1/2-*,,,,,,,,,1,,,,,,,,,,1929,IS=1.06,6,,,,,,,,,,,,,,,,,,,
13,68,13C,,i,,18233.8,,,,,,,,1.1,,,,,15108.8,,,,,,,,1.1,,,,,RQ,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=3/2,0,,,,,,,,,,,,,,,IT=0.82,7;n,?;A,?,,,,,,,,,,,,,,,,,,,,,
13,70,13N,,,,,,5345.48,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.965,,m,0.004,,1/2-*,,,,,,,,,0,,,,,,,,,,1934,B+=100,,,,,,,,,,,,,,,,,,,,,,,
13,78,13N,,i,,20410.59,,,,,,,0.18,,,,15065.1,,,,,,,,0.3,,,,,RQ,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=3/2,0,,,,,,,,,,,,,,,IT=4.9,3;p,?;A,?,,,,,,,,,,,,,,,,,,,,,,,
13,80,13O,,,,,23115,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,,ms,0.05,,,(3/2-),,,,,,,,0,,,,,,,,,,1963,B+=100;B+p=10.9,2,,,,,,,,,,,,,,,,,,
13,90,13F,,,,,42030#,,,,,,,500#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2+#,,,,,,,,,,,,,,,,,,,,,,,,,,p,?,,,,
14,40,14Be,,,,39950,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,,ms,0.27,,,0+,,,,,,,,,,,,1,,,,,,,,,,1973,B-=100;B-n=86,6;B-2n=5,2;B-t=0.02,1;B-A<0.004,,,,,,,,,,,,,,
14,43,14Be,p,,41470,,,,,,,,,60,,,,,,,,1520,,,,,,,,150,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,(2+),,,,,,,,,,,,,,,,,,,,,,1995,,,,,,,,,,,,,,,,,
14,50,14B,,,,,23664,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36,,ms,0.29,,,2-,,,,,,,,,,,,1,,,,,,,,,,1966,B-=100;B-n=6.04,23;B-2n,?,,,,,,,,,,,,,,
14,58,14B,,i,,40728,,,,,,,,,20,,,,,,,17065,,,,,,,,,29,,,,,,,RQ,,,,,4.15,,zs,1.9,,,,0+,,,,,,T=3,,,,,,,,,,,,,,,2001,IT,?,,,,,,,,,,,,,,,,,,,,,,,,
14,60,14C,,,,,,3019.893,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,ky,0.03,,,0+,,,,,,,,,,,,1,,,,,,,,,,1936,B-=100,,,,,,,,,,,,,,,,,,,,,
14,68,14C,,i,,25120,,,,,,,,100,,,,,,,22100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2-),,,,T=2,,,1,,,,,,,,,,1989,IT=100,,,,,,,,,,,,,,,,,,,,
14,70,14N,,,,,,2863.4168,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1+*,,,,,,,,,,,1,,,,,,,,,,1920,IS=99.6205,247,,,,,,,,,,,,,,,,,
14,78,14N,,i,,,5176.007,,,,,,0.01,,,,2312.59,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=1,,,1,,,,,,,,,,1963,IT=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,80,14O,,,,,,8007.781,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.621,,s,0.011,,0+,,,,,,,,,,,,1,,,,,,,,,,1949,B+=100,,,,,,,,,,,,,,,,,,,,,,,
14,90,14F,,,,,31960,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,ys,60,,,,,2-,,,,,,,,,,,,14,,,,,,,,,,2010,p,?,,,,,,,,,,,
15,40,15Be,,,,49830,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,,,,,ys,270,,,,(5/2+),,,,,,,,15,,,,,,,,,,2013,n=100,,,,,,,,,,,,,,,,,,,
15,50,15B,,,,,28957,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18,,ms,0.35,,,3/2-,,,,,,,,,,2,,,,,,,,,,1966,B-=100;B-n=98.7,10;B-2n<1.5,,,,,,,,,,,,,,,,,
