index,Z,N,A,MthFL,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
205,13,45,58,199.79,5.0,5.0,10.0,14.983685966957935,40.30094846285238,17.655172413793103,1.0,1.0
206,13,46,59,210.47,5.0,4.0,9.0,15.155421094002051,40.07196085871729,18.45762711864407,1.0,0.0
207,13,47,60,222.79,5.0,3.0,8.0,15.32618864787106,39.84809048446476,19.266666666666666,1.0,1.0
208,13,48,61,233.13,5.0,2.0,7.0,15.496010072571343,39.629140513461145,20.081967213114755,1.0,0.0
209,13,49,62,245.37,5.0,1.0,6.0,15.664905993978548,39.414924759042805,20.903225806451612,1.0,1.0
210,13,50,63,256.85,5.0,0.0,5.0,15.832896263712227,39.205266938716,21.73015873015873,1.0,0.0
235,14,32,46,45.17,6.0,4.0,10.0,12.838232045991905,50.794744181967985,7.043478260869565,0.0,0.0
236,14,33,47,54.82,6.0,5.0,11.0,13.023625676689214,50.4319121948391,7.680851063829787,0.0,1.0
237,14,34,48,61.77,6.0,6.0,12.0,13.207708995578505,50.079229941568514,8.333333333333334,0.0,0.0
238,14,35,49,72.16,6.0,7.0,13.0,13.390518279406722,49.73621075208212,9.0,0.0,1.0
239,14,36,50,80.1,6.0,8.0,14.0,13.572088082974531,49.4024006220273,9.68,0.0,0.0
240,14,37,51,90.62,6.0,9.0,15.0,13.752451353579682,49.07737541865691,10.372549019607844,0.0,1.0
241,14,38,52,99.67,6.0,10.0,16.0,13.93163953576523,48.76073837517832,11.076923076923077,0.0,0.0
242,14,39,53,110.6,6.0,11.0,17.0,14.109682667364165,48.45211783887318,11.79245283018868,0.0,1.0
243,14,40,54,119.03,6.0,10.0,16.0,14.286609467713793,48.151165243035386,12.518518518518519,0.0,0.0
244,14,41,55,130.49,6.0,9.0,15.0,14.462447418811122,47.857553276793176,13.254545454545454,0.0,1.0
245,14,42,56,139.82,6.0,8.0,14.0,14.637222840091884,47.57097423029863,14.0,0.0,0.0
246,14,43,57,151.43,6.0,7.0,13.0,14.810960957438846,47.29113849568194,14.75438596491228,0.0,1.0
247,14,44,58,160.54,6.0,6.0,12.0,14.983685966957935,47.01777320666112,15.517241379310345,0.0,0.0
248,14,45,59,171.58,6.0,5.0,11.0,15.155421094002051,46.75062100183684,16.28813559322034,0.0,1.0
249,14,46,60,181.88,6.0,4.0,10.0,15.32618864787106,46.489438898542225,17.066666666666666,0.0,0.0
250,14,47,61,193.58,6.0,3.0,9.0,15.496010072571343,46.233997265704666,17.852459016393443,0.0,1.0
251,14,48,62,203.19,6.0,2.0,8.0,15.664905993978548,45.98407888554994,18.64516129032258,0.0,0.0
252,14,49,63,215.29,6.0,1.0,7.0,15.832896263712227,45.739478095168664,19.444444444444443,0.0,1.0
253,14,50,64,222.95,6.0,0.0,6.0,15.999999999999998,45.50000000000001,20.25,0.0,0.0
254,14,51,65,239.85,6.0,1.0,7.0,16.166235625781553,45.265459752188356,21.06153846153846,0.0,1.0
255,14,52,66,250.97,6.0,2.0,8.0,16.331620904278438,45.0356818875557,21.87878787878788,0.0,0.0
256,14,53,67,264.19,6.0,3.0,9.0,16.496172972233907,44.81049971562047,22.70149253731343,0.0,1.0
257,14,54,68,275.67,6.0,4.0,10.0,16.659908371007916,44.58975475769766,23.529411764705884,0.0,0.0
258,15,8,23,44.28,5.0,0.0,5.0,8.087579399090064,73.84311625256146,2.130434782608696,1.0,0.0
283,15,33,48,39.36,5.0,5.0,10.0,13.207708995578505,57.78372685565597,6.75,1.0,1.0
284,15,34,49,46.21,5.0,6.0,11.0,13.390518279406722,57.387935483171674,7.36734693877551,1.0,0.0
285,15,35,50,55.39,5.0,7.0,12.0,13.572088082974531,57.00276994849304,8.0,1.0,1.0
286,15,36,51,63.08,5.0,8.0,13.0,13.752451353579682,56.627740867681055,8.647058823529411,1.0,0.0
287,15,37,52,72.7,5.0,9.0,14.0,13.93163953576523,56.262390432898066,9.307692307692308,1.0,1.0
288,15,38,53,80.94,5.0,10.0,15.0,14.109682667364165,55.90628981408444,9.981132075471699,1.0,0.0
289,15,39,54,91.2,5.0,11.0,16.0,14.286609467713793,55.55903681888698,10.666666666666666,1.0,1.0
290,15,40,55,99.53,5.0,10.0,15.0,14.462447418811122,55.22025378091521,11.363636363636363,1.0,0.0
291,15,41,56,110.05,5.0,9.0,14.0,14.637222840091884,54.88958565034458,12.071428571428571,1.0,1.0
292,15,42,57,119.47,5.0,8.0,13.0,14.810960957438846,54.566698264248394,12.789473684210526,1.0,0.0
293,15,43,58,130.16,5.0,7.0,12.0,14.983685966957935,54.25127677691667,13.517241379310345,1.0,1.0
294,15,44,59,139.52,5.0,6.0,11.0,15.155421094002051,53.94302423288866,14.254237288135593,1.0,0.0
295,15,45,60,150.25,5.0,5.0,10.0,15.32618864787106,53.64166026754872,15.0,1.0,1.0
296,15,46,61,159.72,5.0,4.0,9.0,15.496010072571343,53.34691992196692,15.754098360655737,1.0,0.0
297,15,47,62,169.57,5.0,3.0,8.0,15.664905993978548,53.058552560249936,16.516129032258064,1.0,1.0
298,15,48,63,181.03,5.0,2.0,7.0,15.832896263712227,52.77632087904077,17.285714285714285,1.0,0.0
299,15,49,64,192.18,5.0,1.0,6.0,15.999999999999998,52.50000000000001,18.0625,1.0,1.0
300,15,50,65,201.91,5.0,0.0,5.0,16.166235625781553,52.22937663714041,18.846153846153847,1.0,0.0
301,15,51,66,213.94,5.0,1.0,6.0,16.331620904278438,51.96424833179504,19.636363636363637,1.0,1.0
302,15,52,67,224.92,5.0,2.0,7.0,16.496172972233907,51.70442274879286,20.432835820895523,1.0,0.0
303,15,53,68,237.43,5.0,3.0,8.0,16.659908371007916,51.44971702811269,21.235294117647058,1.0,1.0
304,15,54,69,248.91,5.0,4.0,9.0,16.82284307569508,51.19995718689808,22.043478260869566,1.0,0.0
305,15,55,70,261.51,5.0,5.0,10.0,16.984992522418104,50.954977567254325,22.857142857142858,1.0,1.0
306,15,56,71,273.23,5.0,6.0,11.0,17.146371633935342,50.71462032572426,23.676056338028168,1.0,0.0
307,15,57,72,283.57,5.0,7.0,12.0,17.306994843688898,50.4787349607593,24.5,1.0,1.0
308,15,58,73,294.42,5.0,8.0,13.0,17.466876118408518,50.24717787487383,25.328767123287673,1.0,0.0
309,16,8,24,53.93,4.0,0.0,4.0,8.320335292207616,83.20335292207616,2.6666666666666665,0.0,0.0
310,16,9,25,42.36,4.0,1.0,5.0,8.549879733383484,82.07884544048146,1.96,0.0,1.0
335,16,34,50,27.62,4.0,6.0,10.0,13.572088082974531,65.14602279827776,6.48,0.0,0.0
336,16,35,51,36.78,4.0,7.0,11.0,13.752451353579682,64.71741813449263,7.078431372549019,0.0,1.0
337,16,36,52,43.15,4.0,8.0,12.0,13.93163953576523,64.29987478045493,7.6923076923076925,0.0,0.0
338,16,37,53,52.99,4.0,9.0,13.0,14.109682667364165,63.892902644667934,8.320754716981131,0.0,1.0
339,16,38,54,59.67,4.0,10.0,14.0,14.286609467713793,63.49604207872798,8.962962962962964,0.0,0.0
340,16,39,55,69.67,4.0,11.0,15.0,14.462447418811122,63.1088614639031,9.618181818181819,0.0,1.0
341,16,40,56,77.16,4.0,10.0,14.0,14.637222840091884,62.730955028965234,10.285714285714286,0.0,0.0
342,16,41,57,87.94,4.0,9.0,13.0,14.810960957438846,62.36194087342673,10.964912280701755,0.0,1.0
343,16,42,58,95.74,4.0,8.0,12.0,14.983685966957935,62.001459173619054,11.655172413793103,0.0,0.0
344,16,43,59,106.68,4.0,7.0,11.0,15.155421094002051,61.64917055187276,12.35593220338983,0.0,1.0
345,16,44,60,114.95,4.0,6.0,10.0,15.32618864787106,61.304754591484254,13.066666666666666,0.0,0.0
346,16,45,61,125.76,4.0,5.0,9.0,15.496010072571343,60.967908482247914,13.78688524590164,0.0,1.0
347,16,46,62,134.19,4.0,4.0,8.0,15.664905993978548,60.63834578314278,14.516129032258064,0.0,0.0
348,16,47,63,145.24,4.0,3.0,7.0,15.832896263712227,60.315795290332304,15.253968253968255,0.0,1.0
349,16,48,64,154.22,4.0,2.0,6.0,15.999999999999998,60.00000000000001,16.0,0.0,0.0
350,16,49,65,165.26,4.0,1.0,5.0,16.166235625781553,59.6907161567319,16.753846153846155,0.0,1.0
351,16,50,66,174.87,4.0,0.0,4.0,16.331620904278438,59.387712379194326,17.515151515151516,0.0,0.0
352,16,51,67,186.32,4.0,1.0,5.0,16.496172972233907,59.090768855763265,18.28358208955224,0.0,1.0
353,16,52,68,196.2,4.0,2.0,6.0,16.659908371007916,58.79967660355736,19.058823529411764,0.0,0.0
354,16,53,69,208.67,4.0,3.0,7.0,16.82284307569508,58.514236785026384,19.840579710144926,0.0,1.0
355,16,54,70,218.72,4.0,4.0,8.0,16.984992522418104,58.234260076862085,20.62857142857143,0.0,0.0
356,16,55,71,230.66,4.0,5.0,9.0,17.146371633935342,57.95956608654201,21.422535211267604,0.0,1.0
357,16,56,72,241.31,4.0,6.0,10.0,17.306994843688898,57.689982812296336,22.22222222222222,0.0,0.0
358,16,57,73,254.14,4.0,7.0,11.0,17.466876118408518,57.42534614271295,23.027397260273972,0.0,1.0
359,16,58,74,266.32,4.0,8.0,12.0,17.626028979376553,57.16549939257262,23.83783783783784,0.0,0.0
360,16,59,75,278.64,4.0,9.0,13.0,17.784466522450312,56.910292871841015,24.653333333333332,0.0,1.0
361,16,60,76,290.06,4.0,10.0,14.0,17.942201436929967,56.659583485042006,25.473684210526315,0.0,0.0
362,17,8,25,67.84,3.0,0.0,3.0,8.549879733383484,93.02269149921231,3.24,1.0,0.0
363,17,9,26,54.94,3.0,1.0,4.0,8.776382955329126,91.81446784036626,2.4615384615384617,1.0,1.0
364,17,10,27,37.82,3.0,2.0,5.0,8.999999999999998,90.66666666666667,1.8148148148148149,1.0,0.0
390,17,36,53,29.62,3.0,8.0,11.0,14.109682667364165,72.41195633062365,6.811320754716981,1.0,0.0
391,17,37,54,37.76,3.0,9.0,12.0,14.286609467713793,71.96218102255838,7.407407407407407,1.0,1.0
392,17,38,55,44.23,3.0,10.0,13.0,14.462447418811122,71.52337632575684,8.018181818181818,1.0,0.0
393,17,39,56,53.13,3.0,11.0,14.0,14.637222840091884,71.0950823661606,8.642857142857142,1.0,1.0
394,17,40,57,60.27,3.0,10.0,13.0,14.810960957438846,70.67686632321697,9.280701754385966,1.0,0.0
395,17,41,58,69.55,3.0,9.0,12.0,14.983685966957935,70.26832039676826,9.931034482758621,1.0,1.0
396,17,42,59,76.92,3.0,8.0,11.0,15.155421094002051,69.86905995878912,10.59322033898305,1.0,0.0
397,17,43,60,86.53,3.0,7.0,10.0,15.32618864787106,69.47872187034882,11.266666666666667,1.0,1.0
398,17,44,61,95.53,3.0,6.0,9.0,15.496010072571343,69.09696294654763,11.950819672131148,1.0,0.0
399,17,45,62,105.81,3.0,5.0,8.0,15.664905993978548,68.72345855422849,12.64516129032258,1.0,1.0
400,17,46,63,113.97,3.0,4.0,7.0,15.832896263712227,68.35790132904329,13.34920634920635,1.0,0.0
401,17,47,64,123.67,3.0,3.0,6.0,15.999999999999998,68.00000000000001,14.0625,1.0,1.0
402,17,48,65,132.52,3.0,2.0,5.0,16.166235625781553,67.64947831096282,14.784615384615385,1.0,0.0
403,17,49,66,143.12,3.0,1.0,4.0,16.331620904278438,67.30607402975357,15.515151515151516,1.0,1.0
404,17,50,67,152.76,3.0,0.0,3.0,16.496172972233907,66.9695380365317,16.253731343283583,1.0,0.0
405,17,51,68,164.03,3.0,1.0,4.0,16.659908371007916,66.63963348403168,17.0,1.0,1.0
406,17,52,69,173.93,3.0,2.0,5.0,16.82284307569508,66.3161350230299,17.753623188405797,1.0,0.0
407,17,53,70,185.61,3.0,3.0,6.0,16.984992522418104,65.99882808711037,18.514285714285716,1.0,1.0
408,17,54,71,194.83,3.0,4.0,7.0,17.146371633935342,65.68750823141428,19.281690140845072,1.0,0.0
409,17,55,72,205.54,3.0,5.0,8.0,17.306994843688898,65.38198052060251,20.055555555555557,1.0,1.0
410,17,56,73,216.14,3.0,6.0,9.0,17.466876118408518,65.08205896174134,20.835616438356166,1.0,0.0
411,17,57,74,228.27,3.0,7.0,10.0,17.626028979376553,64.78756597824898,21.62162162162162,1.0,1.0
412,17,58,75,239.53,3.0,8.0,11.0,17.784466522450312,64.49833192141982,22.413333333333334,1.0,0.0
413,17,59,76,252.27,3.0,9.0,12.0,17.942201436929967,64.21419461638095,23.210526315789473,1.0,1.0
414,17,60,77,263.65,3.0,10.0,13.0,18.099246023352887,63.934998939636195,24.01298701298701,1.0,0.0
415,17,61,78,276.3,3.0,11.0,14.0,18.25561221028858,63.66059642562172,24.82051282051282,1.0,1.0
416,17,62,79,288.87,3.0,12.0,15.0,18.41131157020244,63.390844899937534,25.632911392405063,1.0,0.0
417,18,9,27,66.15,2.0,1.0,3.0,8.999999999999998,102.0,3.0,0.0,1.0
418,18,10,28,47.31,2.0,2.0,4.0,9.220872584116892,100.77096466927749,2.2857142857142856,0.0,0.0
445,18,37,55,20.85,2.0,9.0,11.0,14.462447418811122,80.46379836647644,6.5636363636363635,0.0,1.0
446,18,38,56,26.23,2.0,10.0,12.0,14.637222840091884,79.98196766193067,7.142857142857143,0.0,0.0
447,18,39,57,34.97,2.0,11.0,13.0,14.810960957438846,79.51147461361909,7.7368421052631575,0.0,1.0
448,18,40,58,40.95,2.0,10.0,12.0,14.983685966957935,79.05186044636429,8.344827586206897,0.0,0.0
449,18,41,59,50.19,2.0,9.0,11.0,15.155421094002051,78.60269245363777,8.966101694915254,0.0,1.0
