AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
11,8,11O,,47740.0,60.0,490.0,3,0.0,1.0,1.0,4.9460874432487,25.18008152926612,2.272727272727273,0.0,1.0
12,8,12O,,32013.0,12.0,1620.0,4,0.0,2.0,2.0,5.241482788417793,24.46025301261637,1.3333333333333333,0.0,0.0
17,8,17O,i,10270.02,0.17,870.7560000000003,9,0.0,1.0,1.0,6.611489018457944,21.779022649037937,0.058823529411764705,0.0,1.0
16,9,16F,,10675.0,5.0,193.0,7,1.0,1.0,2.0,6.3496042078727974,28.57321893542759,0.25,1.0,1.0
21,9,21F,,-47.6,1.8,279.93,12,1.0,4.0,5.0,7.611662611020244,26.097128952069415,0.42857142857142855,1.0,0.0
26,9,26F,,18670.0,110.0,643.4,17,1.0,3.0,4.0,8.776382955329126,24.303829722449894,2.4615384615384617,1.0,1.0
18,9,18F,i,1914.7,0.5,937.2,9,1.0,1.0,2.0,6.868285455319991,27.473141821279967,0.0,1.0,1.0
15,9,15F,,16567.0,14.0,1520.0,6,1.0,2.0,3.0,6.082201995573399,29.194569578752326,0.6,1.0,0.0
22,9,22F,,2793.0,12.0,71.65,13,1.0,5.0,6.0,7.851424410539689,25.695570798129896,0.7272727272727273,1.0,1.0
24,9,24F,,7540.0,100.0,521.5,15,1.0,5.0,6.0,8.320335292207616,24.96100587662285,1.5,1.0,1.0
14,9,14F,,31960.0,40.0,540.0,5,1.0,3.0,4.0,5.808785733563703,29.873755201184768,1.1428571428571428,1.0,1.0
23,9,23F,,3290.0,30.0,2246.0,14,1.0,6.0,7.0,8.087579399090064,25.31763985802107,1.0869565217391304,1.0,0.0
25,9,25F,,11330.0,100.0,3300.0,16,1.0,4.0,5.0,8.549879733383484,24.623653632144435,1.96,1.0,0.0
28,9,28F,,33400.0,120.0,590.0,19,1.0,1.0,2.0,9.220872584116892,23.710815216300585,3.5714285714285716,1.0,1.0
19,9,19F,,-1487.4451,0.0008,109.89399999999999,10,1.0,2.0,3.0,7.1203673589019925,26.982444728470714,0.05263157894736842,1.0,0.0
17,9,17F,i,13144.7,1.9,495.33,8,1.0,0.0,1.0,6.611489018457944,28.001600548763065,0.058823529411764705,1.0,0.0
20,9,20F,,-17.463,0.03,656.02,11,1.0,3.0,4.0,7.368062997280773,26.525026790210784,0.2,1.0,1.0
27,9,27F,,25130.0,120.0,777.0,18,1.0,2.0,3.0,8.999999999999998,24.0,3.0,1.0,0.0
32,10,32Ne,,37000.0,500.0,722.0,22,2.0,2.0,4.0,10.079368399158984,28.34822362263465,4.5,0.0,0.0
26,10,26Ne,,481.0,18.0,2018.0,16,2.0,4.0,6.0,8.776382955329126,30.379787153062367,1.3846153846153846,0.0,0.0
29,10,29Ne,,18400.0,150.0,232.0,19,2.0,1.0,3.0,9.43913067739236,29.293853826390087,2.793103448275862,0.0,1.0
24,10,24Ne,,-5951.6,0.5,1981.6,14,2.0,6.0,8.0,8.320335292207616,31.201257345778565,0.6666666666666666,0.0,0.0
23,10,23Ne,,-5154.05,0.1,1016.926,13,2.0,5.0,7.0,8.087579399090064,31.647049822526338,0.391304347826087,0.0,1.0
27,10,27Ne,,7050.0,90.0,765.0,17,2.0,3.0,5.0,8.999999999999998,30.0,1.8148148148148149,0.0,1.0
25,10,25Ne,,-2036.0,29.0,1702.8,15,2.0,5.0,7.0,8.549879733383484,30.779567040180545,1.0,0.0,1.0
30,10,30Ne,,23280.0,250.0,792.0,20,2.0,0.0,2.0,9.654893846056297,28.964681538168897,3.3333333333333335,0.0,0.0
22,10,22Ne,i,5855.0,10.0,1274.537,12,2.0,4.0,6.0,7.851424410539689,32.11946349766237,0.18181818181818182,0.0,0.0
